family_id,stratum,lesson_mode,blocks,warm_success_rate,cold_success_rate,warm_tool_calls,cold_tool_calls,saving_tool_calls,reduction_percent_tool_calls,warm_tool_failures,cold_tool_failures,saving_tool_failures,reduction_percent_tool_failures,warm_task_model_calls,cold_task_model_calls,saving_task_model_calls,reduction_percent_task_model_calls,warm_task_input_tokens,cold_task_input_tokens,saving_task_input_tokens,reduction_percent_task_input_tokens,warm_task_output_tokens,cold_task_output_tokens,saving_task_output_tokens,reduction_percent_task_output_tokens,warm_total_model_calls,cold_total_model_calls,saving_total_model_calls,reduction_percent_total_model_calls,warm_total_input_tokens,cold_total_input_tokens,saving_total_input_tokens,reduction_percent_total_input_tokens,warm_total_output_tokens,cold_total_output_tokens,saving_total_output_tokens,reduction_percent_total_output_tokens,warm_duration_ms,cold_duration_ms,saving_duration_ms,reduction_percent_duration_ms
cache-verification-rule,verification-rule,seeded,3,1.0,0.0,8.0,18.666666666666668,10.666666666666668,57.142857142857146,1.0,4.666666666666667,3.666666666666667,78.57142857142857,7.666666666666667,17.0,9.333333333333332,54.90196078431372,56173.0,151901.33333333334,95728.33333333334,63.0200744342819,867.3333333333334,2518.3333333333335,1651.0,65.55923229649238,8.0,18.0,10.0,55.55555555555556,57388.666666666664,156737.0,99348.33333333334,63.385373800272646,990.0,3397.6666666666665,2407.6666666666665,70.86235651917983,12046.0,35673.333333333336,23627.333333333336,66.23247991029714
cli-command,command-recovery,seeded,3,1.0,1.0,1.0,7.333333333333333,6.333333333333333,86.36363636363636,0.0,1.3333333333333333,1.3333333333333333,99.99999999999999,2.0,6.333333333333333,4.333333333333333,68.42105263157895,13280.666666666666,43922.333333333336,30641.66666666667,69.76329429978675,163.0,729.6666666666666,566.6666666666666,77.66103243490178,2.0,7.333333333333333,5.333333333333333,72.72727272727272,13280.666666666666,46739.666666666664,33459.0,71.58587637909271,163.0,1120.3333333333333,957.3333333333333,85.45075870276703,2819.3333333333335,13030.0,10210.666666666666,78.362752622154
error-envelope-constraint,project-constraint,seeded,3,0.3333333333333333,0.3333333333333333,12.666666666666666,10.666666666666666,-2.0,-18.75,4.0,2.0,-2.0,-100.0,11.0,9.333333333333334,-1.666666666666666,-17.85714285714285,83135.33333333333,67934.33333333333,-15201.0,-22.3760199800788,1486.0,1095.0,-391.0,-35.70776255707762,12.0,10.0,-2.0,-20.0,87315.33333333333,70682.0,-16633.33333333333,-23.53262971242088,2222.3333333333335,1468.0,-754.3333333333335,-51.385104450499554,22926.0,18011.666666666668,-4914.333333333332,-27.28416766910335
exclusive-window-repair,code-repair,seeded,3,1.0,1.0,8.333333333333334,9.0,0.6666666666666661,7.4074074074074,1.0,1.3333333333333333,0.33333333333333326,24.999999999999996,8.333333333333334,8.0,-0.3333333333333339,-4.166666666666674,59890.666666666664,56597.666666666664,-3293.0,-5.818261059054261,815.0,905.3333333333334,90.33333333333337,9.977908689248899,9.0,8.666666666666666,-0.3333333333333339,-3.8461538461538534,61921.333333333336,58808.333333333336,-3113.0,-5.293467479098767,1135.3333333333333,1162.0,26.666666666666742,2.294893861158928,13580.666666666666,14564.333333333334,983.6666666666679,6.753942279083614
expired-session-repair,code-repair,learned,3,0.6666666666666666,0.6666666666666666,8.666666666666666,9.666666666666666,1.0,10.344827586206897,0.3333333333333333,0.6666666666666666,0.3333333333333333,49.99999999999999,8.666666666666666,8.0,-0.6666666666666661,-8.333333333333325,63169.333333333336,57248.666666666664,-5920.6666666666715,-10.342016699078883,997.6666666666666,889.6666666666666,-108.0,-12.139378044211316,9.0,8.666666666666666,-0.3333333333333339,-3.8461538461538534,64075.666666666664,59385.666666666664,-4690.0,-7.897528584338533,1114.0,1203.6666666666667,89.66666666666674,7.449459983384111,14016.666666666666,14278.0,261.33333333333394,1.8303217070551474
ledger-verification-rule,verification-rule,learned,3,1.0,1.0,7.666666666666667,10.666666666666666,2.999999999999999,28.12499999999999,0.6666666666666666,0.0,-0.6666666666666666,,7.666666666666667,8.666666666666666,0.9999999999999991,11.53846153846153,55688.0,64128.666666666664,8440.666666666664,13.162080400860766,764.6666666666666,779.3333333333334,14.666666666666742,1.8819503849444066,8.666666666666666,9.666666666666666,1.0,10.344827586206897,58312.333333333336,66877.66666666667,8565.333333333336,12.80746437525233,1157.0,1124.0,-33.0,-2.9359430604982206,13244.0,14334.0,1090.0,7.604297474536068
optional-field-constraint,project-constraint,learned,3,0.6666666666666666,1.0,12.0,11.666666666666666,-0.3333333333333339,-2.8571428571428625,2.3333333333333335,1.3333333333333333,-1.0000000000000002,-75.00000000000003,9.333333333333334,9.0,-0.3333333333333339,-3.7037037037037104,72904.66666666667,65749.0,-7155.6666666666715,-10.883308744873188,1150.0,921.3333333333334,-228.66666666666663,-24.8191027496382,10.333333333333334,10.0,-0.3333333333333339,-3.3333333333333393,76568.33333333333,69282.66666666667,-7285.666666666657,-10.515857742196205,1526.0,1439.6666666666667,-86.33333333333326,-5.996758508914095,16914.333333333332,15984.0,-930.3333333333321,-5.8204037370703965
parser-verification-rule,verification-rule,learned,3,1.0,0.6666666666666666,9.333333333333334,24.666666666666668,15.333333333333334,62.16216216216217,0.3333333333333333,10.333333333333334,10.0,96.77419354838709,8.333333333333334,22.333333333333332,13.999999999999998,62.686567164179095,64687.0,300561.3333333333,235874.3333333333,78.47793683818279,912.3333333333334,5460.333333333333,4548.0,83.29161833831878,9.333333333333334,23.0,13.666666666666666,59.420289855072454,67419.33333333333,302475.0,235055.6666666667,77.71077499517867,1130.6666666666667,5669.666666666667,4539.0,80.05761655594097,13814.333333333334,59235.666666666664,45421.33333333333,76.67902783795799
payload-command,command-recovery,learned,3,1.0,1.0,3.0,4.666666666666667,1.666666666666667,35.714285714285715,0.0,0.3333333333333333,0.3333333333333333,99.99999999999999,3.6666666666666665,5.0,1.3333333333333335,26.666666666666668,25052.333333333332,33716.333333333336,8664.000000000004,25.696744406766264,332.3333333333333,416.6666666666667,84.33333333333337,20.24000000000001,3.6666666666666665,5.333333333333333,1.6666666666666665,31.25,25052.333333333332,34663.333333333336,9611.000000000004,27.726704490816434,332.3333333333333,543.0,210.66666666666669,38.79680785758134,5199.666666666667,7962.333333333333,2762.666666666666,34.69669694813078
registry-order-constraint,project-constraint,learned,3,1.0,1.0,9.333333333333334,10.666666666666666,1.3333333333333321,12.499999999999988,0.3333333333333333,0.6666666666666666,0.3333333333333333,49.99999999999999,7.333333333333333,8.333333333333334,1.0000000000000009,12.000000000000009,53476.0,59710.666666666664,6234.666666666664,10.441462161981105,721.6666666666666,803.3333333333334,81.66666666666674,10.165975103734448,8.333333333333334,9.333333333333334,1.0,10.714285714285714,56071.0,62739.666666666664,6668.666666666664,10.629107582125075,976.6666666666666,1221.6666666666667,245.0000000000001,20.054570259208738,11954.666666666666,14508.333333333334,2553.666666666668,17.601378518093057
